pca_dim,nb_kernels,kernel_size,stride,kernel_modes,variant,mean_accuracy,std_accuracy,param_count,run_dir,efficiency
8,1,3,2,4,qconv_classical,0.547832939322301,0.019381498398327892,12,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155102,0.045652744943525086
8,1,3,2,8,qconv_quantum,0.7557131599684791,0.21219220424489293,126,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155108,0.005997723491813326
8,1,3,2,8,qconv_classical,0.547832939322301,0.019381498398327892,12,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155108,0.045652744943525086
8,1,3,2,10,qconv_quantum,0.7213553979511426,0.1765495860843585,194,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155118,0.0037183267935625907
8,1,3,2,10,qconv_classical,0.547832939322301,0.019381498398327892,12,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155118,0.045652744943525086
8,1,3,2,12,qconv_quantum,0.7676910953506698,0.21090297244690437,278,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155137,0.002761478760254208
8,1,3,2,12,qconv_classical,0.547832939322301,0.019381498398327892,12,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155137,0.045652744943525086
8,1,3,2,16,qconv_quantum,0.7965327029156816,0.2278843729979382,494,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155210,0.0016124143783718251
8,1,3,2,16,qconv_classical,0.547832939322301,0.019381498398327892,12,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155210,0.045652744943525086
8,1,4,1,4,qconv_quantum,0.5780929866036248,0.07179343772901726,46,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155528,0.012567238839209236
8,1,4,1,4,qconv_classical,0.5538219070133964,0.029754694724193457,17,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155528,0.03257775923608214
8,1,4,1,8,qconv_quantum,0.5609141055949567,0.04000886659419119,134,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155534,0.004185926161156393
8,1,4,1,8,qconv_classical,0.5538219070133964,0.029754694724193457,17,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155534,0.03257775923608214
